2272_楔子 繁华过眼开一季
5290_第一章 苏家赘婿
3969_第二章 诗与棋
7418_第三章 群像：老叟、小婢与二世祖
2252_第四章 没关系的人
4188_第五章 投河的母鸡
3727_第六章 秦老
4345_第七章 豫山书院
4030_第八章
5533_第九章 未来的样子
3672_第十章 明月几时有
4853_第十一章 画舫上
3351_第十二章 止水诗会
2929_第十三章 龟鹤园中
3391_第十四章 推波助澜
2914_第十五章 后知后觉
4889_第十六章 聂云竹
3141_第十七章 气场
3266_第十八章 自挂东南枝
3419_第十九章 忠臣
4805_第二十章 猜测
3396_第二十一章 秋末冬初（上）
3238_第二十二章 秋末冬初（下）
4200_第二十三章 嘴贱
4114_第二十四章 表姐
3450_第二十五章 翻手为云
3623_第二十六章 考校
3075_第二十七章 几层楼的高度
3511_第二十八章 伽蓝雨（上）
4669_第二十九章 伽蓝雨（下）
3472_第三十章 谈笑
3524_第三十一章 复杂
3350_第三十二章 第一步（上）
5051_第三十三章 第一步（下）
3412_第三十四章 年节琐事
2955_第三十五章 一夜鱼龙舞（一）
3883_第三十六章 一夜鱼龙舞（二）
3549_第三十七章 一夜鱼龙舞（三）
5454_第三十八章 一夜鱼龙舞（四）
3791_第三十九章 一夜鱼龙舞（五）
3464_第四十章 一夜鱼龙舞（六）
3803_第四十一章 一夜鱼龙舞（七）
3569_第四十二章 一夜鱼龙舞（八）
3177_第四十三章 赌约
3520_第四十四章 小推车
3465_第四十五章 简单手法
3766_第四十六章 旧识
3472_第四十七章 往事滋味
4157_第四十八章 从无以弱胜强
4241_第四十九章 春光里
3689_第五十章 奇怪的相处
3543_第五十一章 萌芽
5493_第五十二章 伊始
4208_关于香蕉、关于《赘婿》（请读者都能看看）
5426_第五十三章 喜庆（上架求票）
4493_第五十四章 震慑（上）
3194_第五十五章 震慑（中）
3680_第五十六章 震慑（下）
3369_第五十七章 身后、眼前
3398_第五十八章 一对姐弟
3370_第五十九章 杀！
3817_第六十章 风雷疾舞（求月票）
3824_第六十一章 局与势（求月票）
3140_第六十二章 饵与线（求月票）
3456_第六十三章 企图（求月票）
3316_第六十四章 铃铛明天见
3718_第六十五章 游戏光景
3491_第六十六章 禁忌（求月票）
3811_第六十七章 期待、赌约（求月票）
4056_第六十八章 广告、布局（求月票）
3381_第六十九章 铃铛天天见（求月票）
3260_第七十章 凶残宁立恒（求月票）
3229_第七十一章 吕梁（求月票）
4514_第七十二章 雨幕（求月票）
3790_第七十三章 文弱书生（求月票）
3380_第七十四章 心如猛虎（一）
3166_第七十五章 心如猛虎（二）
125_七十五章作了修改（并拉票）
4172_第七十六章 心如猛虎（三）
3066_第七十七章 心如猛虎（四）
3371_第七十八章 山居（求月票）
4649_第七十九章 他山之石（上）
3862_第八十章 他山之石（下）
4339_第八十一章 等待
3617_第八十二章 灾情欲来
3385_第八十三章 就不嫁人（求月票）
3395_第八十四章 两样东西（求月票）
4488_第八十五章 算
3367_第八十六章 辈分、称呼（求月票）
3289_第八十七章 窗户纸（求月票）
3585_第八十八章 星星点灯（求月票）
3807_第八十九章 小婵（求月票）
